Category,Fact
foobiad,GNOSIOFOOBIA – HIRM TEADMISTE EES
foobiad,GRAFOFOOBIA – HIRM (KÄSITSI)KIRJUTAMISE EES
foobiad,GÜMNOFOOBIA – HIRM ALASTIOLEKU EES
foobiad,"GÜNEFOOBIA, GÜNOFOOBIA – HIRM NAISTE EES"
foobiad,HADEFOOBIA – HIRM PÕRGU EES
foobiad,"HAFEFOOBIA, HAPTEFOOBIA – HIRM SAADA PUUDUTATUD"
foobiad,HAGIOFOOBIA – HIRM PÜHAKUTE VÕI PÜHADE ASJADE EES
foobiad,HAMRTOFOOBIA – HIRM TEHA PATTU
foobiad,HARPAKSOFOOBIA – HIRM RÖÖVITUD SAADA
foobiad,HEDONOFOOBIA – HIRM TUNDA MÕNU (NAUDINGUT)
foobiad,HELIOFOOBIA – HIRM PÄIKESE EES
foobiad,HELLENOLOGOFOOBIA – HIRM KREEKAPÄRASTE TERMINITE VÕI ÜLDSE TEADUSLIKU TERMINOLOOGIA EES
foobiad,HELMINTOFOOBIA – HIRM USSIKESTEST VÕI VAKLADEST KIHISEMISE EES
foobiad,"HEMAFOOBIA, HEMOFOOBIA, HEMATOFOOBIA – HIRM VERE EES"
foobiad,"HEREIOFOOBIA, HERESÜFOOBIA – HIRM AMETLIKU SEISUKOHTADE MITTETUNNUSTAMISE (VASTUVAIDLEMISE) VÕI RADIKAALSE KÕRVALEKALDUMISE EES"
foobiad,HERPETOFOOBIA – HIRM ROOMAJATE VÕI ROOMAVATE ASJADE EES
foobiad,HETEROFOOBIA – HIRM VASTASSUGUPOOLE EES
foobiad,HIEROFOOBIA – HIRM PREESTRITE VÕI VAIMULIKE ASJADE EES
foobiad,HIPOFOOBIA – HIRM HOBUSTE EES
foobiad,HIPOPOTOMANSTROSESKVIPEDALIOFOOBIA – HIRM PIKKADE SÕNADE EES
foobiad,HOBOFOOBIA – HIRM HULKURITE VÕI KERJUSTE EES
foobiad,HODOFOOBIA – HIRM REISIMISE EES
foobiad,HOMIHLOFOOBIA – HIRM UDU EES
foobiad,HOMILOFOOBIA – HIRM JUTLUSTE EES
foobiad,HOMINOFOOBIA – HIRM MEESTE EES
foobiad,"HOMOFOOBIA – HIRM ÜHETAOLISUSE, MONOTOONSUSE EES"
foobiad,HOMOFOOBIA 2 – HIRM HOMOSEKSUAALSUSE VÕI HOMOSEKSUAALSEKS MUUTUMISE EES
foobiad,HOPLOFOOBIA – HIRM TULIRELVADE EES
foobiad,HORMEFOOBIA – HIRM VAPUSTUSE VÕI EHMATUSE EES
foobiad,HÜDRARGÜROFOOBIA – HIRM ELAVHÕBEDA(PREPARAATIDE) EES
foobiad,HÜDROFOOBIA – HIRM VEE VÕI MARUTAUDI EES
foobiad,HÜDROFOBOFOOBIA – HIRM MARUTAUDI EES
foobiad,"HÜALOFOOBIA, HÜELOFOOBIA – HIRM KLAASI EES"
foobiad,"HÜGROFOOBIA – HIRM VEDELIKE, NIISKUSE VÕI RÕSKUSE EES"
foobiad,HÜLOFOOBIA – HIRM MATERIALISMI EES
foobiad,HÜLEFOOBIA 2 – HIRM EPILEPSIA (LANGETÕVE) EES
foobiad,HÜLOFOOBIA – HIRM METSADE EES
foobiad,"HÜPEGIAFOOBIA, HÜPENGÜONFOOBIA – HIRM VASTUTUSE EES"
foobiad,HÜPETRIHHOFOOBIA – HIRM JUUSTE EES
foobiad,HÜPNOFOOBIA – HIRM UNE VÕI HÜPNOTISEERIMISE EES
foobiad,HÜPSIFOOBIA – HIRM KÕRGUSE VÕI KÕRGENDIKE EES
foobiad,IATROFOOBIA – HIRM ARSTI JUURDE MINEKU VÕI ARSTIDE EES ÜLDSE
foobiad,IHTÜOFOOBIA – HIRM KALADE EES
foobiad,"ILLÜNGOFOOBIA – HIRM PEAPÖÖRITUSTE EES, MIS VÕIB TEKKIDA ALLAVAATAMISEL"
foobiad,ISOFOOBIA – HIRM MÜRKIDE EES
foobiad,INSEKTOFOOBIA – HIRM PUTUKATE EES
foobiad,"ISOLOFOOBIA – HIRM SUNNITUD ÜKSINDUSE, ISOLEERITUS EES"
foobiad,ISOPTEROFOOBIA – HIRM TERMIITIDE VÕI MUUDE PUUD KAHJUSTAVATE PUTUKATE EES
foobiad,ITHÜFALLOFOOBIA – HIRM EREKTEERUNUD PEENISE NÄGEMISE VÕI OMAMISE EES; KA HIRM SELLEST MÕTELDA VÕI UNISTADA
foobiad,JAPANOFOOBIA – HIRM JAAPANLASTE VÕI MUU JAAPANIPÄRASE EES
foobiad,"JUDEOFOOBIA – HIRM JUUTIDE, JUUDIPÄRASE VÕI IISRAELI EES"
foobiad,"KAETOFOOBIA, TSAETOFOOBIA – HIRM JUUSTE EES"
foobiad,KAKOFOOBIA – HIRM INETUSE EES
foobiad,KAKORRA(FIO)FOOBIA – HIRM KAOTADA VÕI LÄBI KUKKUDA
foobiad,"KAINOFOOBIA, KAINOTOFOOBIA – HIRM UUDSUSE EES"
foobiad,KALIGÜNEFOOBIA – HIRM ILUSATE NAISTE EES
foobiad,"KANTSEROFOOBIA, KARTSINOFOOBIA – HIRM VÄHI (HAIGUSE) EES"
foobiad,KARDIOFOOBIA – HIRM SÜDAMESSE PUUTUVATE ASJADE EES
foobiad,KARNOFOOBIA – HIRM LIHA EES
foobiad,KATAGELOFOOBIA – HIRM NAERUVÄÄRNE OLLA
foobiad,KATAPEDAFOOBIA – HIRM (ALLA – VÕI ÜLES-) HÜPPAMISE EES
foobiad,KATHISOFOOBIA – HIRM ISTUDA
foobiad,KATOPTROFOOBIA – HIRM PEEGLITE EES
foobiad,"KENOFOOBIA, KENTOFOOBIA – HIRM UUTE ASJADE VÕI MÕTETE EES"
foobiad,"KENOFOOBIA 2 – HIRM TÜHJUSE, TÜHJADE KOHTADE EES"
foobiad,KERAUNOFOOBIA – HIRM KÕUEMÜRINA EES
foobiad,"KEIMAFOOBIA, KEIMATOFOOBIA, TSEIMA(TO)FOOBIA – HIRM KÜLMA EES"
foobiad,KEMOFOOBIA – HIRM KEMIKAALIDE VÕI NENDEGA TÖÖTAMISE EES
foobiad,"KEROFOOBIA, TSEROFOOBIA – HIRM LÕBUSUSE EES"
foobiad,"KINESOFOOBIA, KINETOFOOBIA – HIRM LIIKUMISE VÕI LIIGUTAMISE EES"
foobiad,"KIONOFOOBIA, TSIONOFOOBIA – HIRM LUME EES"
foobiad,KIRAPTOFOOBIA – HIRM (KÄEGA) PUUDUTUSTE EES
foobiad,KLAUSTROFOOBIA – HIRM KINNISTE JA – VÕI KITSASTE RUUMIDE EES
foobiad,"KLEISIOFOOBIA, KLEITROFOOBIA – HIRM SULETUD RUUMI LUKUSTATUD SAADA"
foobiad,KLEPTOFOOBIA – HIRM VARASTAMISE EES
foobiad,"KLIMAKOFOOBIA – HIRM TREPPIDE, NENDEST KÄIMISE EES (KUKKUMINE)"
foobiad,KLINOFOOBIA – HIRM VOODISSE MINNA
foobiad,"KLITROFOOBIA, KLEITROBOOBIA – HIRM KUHUGI SULETUD SAADA"
foobiad,KOIMETROFOOBIA – HIRM SURNUAEDADE EES
foobiad,"KOINONIFOOBIA – HIRM TUBADE, RUUMIDE EES"
foobiad,KOLEROFOOBIA – HIRM VIHA EES
foobiad,KOLEROFOOBIA 2 – HIRM KOOLERA EES
foobiad,KOLPOFOOBIA – HIRM NAISSUGUELUNDITE EES
foobiad,KONIOFOOBIA – HIRM TOLMU EES
foobiad,"KOPOFOOBIA – HIRM VÄSITAVA, FÜÜSILISE TÖÖ EES"
foobiad,KOROFOOBIA – HIRM TANTSIMISE EES
foobiad,KOSMIKOFOOBIA – HIRM KOSMOSE KUI MÕISTETAMATU EES
foobiad,"KNIDOFOOBIA – HIRM PAELTE, NÖÖRIDE EES"
foobiad,KOMETOFOOBIA – HIRM KOMEETIDE EES
foobiad,KOITOFOOBIA – HIRM SUGUÜHTE EES
foobiad,KONTRAFOOBIA – “ÄHVARDAVATE” SITUATSIOONIDE EELISTAMINE FOOBI(KU) POOLT
foobiad,KONTREKTOFOOBIA – HIRM SEKSUAALSE KURITARVITAMISE VÕI VÄÄRKOHTLEMISE EES (ANAALSUHTED)
foobiad,KOPRASTASOFOOBIA – HIRM KÕHUKINNISUSE VÕI SOOLTE UMMISTUMISE EES
foobiad,KOPROFOOBIA – HIRM VÄLJAHEIDETE EES
foobiad,KOULROFOOBIA – HIRM KLOUNIDE EES
foobiad,"KREMATOFOOBIA, KROMETOFOOBIA – HIRM RAHA EES"
foobiad,KREMNOFOOBIA – HIRM KURISTIKE JA JÄRSAKUTE EES
foobiad,KRISTALLOFOOBIA – HIRM KRISTALLI VÕI KLAASI EES
foobiad,"KROMATOFOOBIA, KROMOFOOBIA – HIRM VÄRVIDE EES"
foobiad,KRONOFOOBIA – HIRM AJA EES
foobiad,KRONOMETROFOOBIA – HIRM KELLADE EES
foobiad,"KRÜFOFOOBIA – HIRM PAKASE, JÄÄ VÕI HÄRMATISE EES"
foobiad,KSANTOFOOBIA – HIRM KOLLASE VÄRVI VÕI KOLLAST VÄRVI ASJA EES
foobiad,KSENOFOOBIA – HIRM VÕÕRASTE VÕI VÕÕRAMAALASTE EES
foobiad,KSEROFOOBIA – HIRM KUIVUSE EES
foobiad,KSÜLOFOOBIA – HIRM PUUST ESEMETE EES
foobiad,KSÜLOFOOBIA 2 – HIRM METSADE EES
foobiad,KÜBERFOOBIA – HIRM ARVUTITE JA – VÕI ARVUTITEGA TÖÖTAMISE EES
foobiad,KÜFOFOOBIA – HIRM KUMMARDUMISE EES
foobiad,"KÜMOFOOBIA – HIRM LAINETE, LAINETUSE JA LAINELISE LIIKUMISE EES"
foobiad,KÜNOFOOBIA – HIRM KOERTE VÕI MARUTAUDI EES
foobiad,"KÜPRIANOFOOBIA, KÜPRIDOFOOBIA, KÜPRIFOOBIA, KÜPRINOFOOBIA – HIRM PROSTITUUTIDE VÕI SUGUHAIGUSTE EES"
foobiad,LAHHANOFOOBIA – HIRM KÖÖGIVILJADE EES
foobiad,"LALIOFOOBIA, LALOFOOBIA – HIRM RÄÄKIDA"
foobiad,"LEPRAFOOBIA, LEPROFOOBIA – HIRM LEEPRA EES"
foobiad,LEUKOFOOBIA – HIRM VALGE VÄRVI EES
foobiad,LEVOFOOBIA – HIRM VASAKUL POOL ASUVATE ASJADE EES
foobiad,LIGÜROFOOBIA – HIRM VALJUDE HÄÄLTE EES
foobiad,"LILAPSOFOOBIA – HIRM KEERISTORMIDE (TUULISPASAD, TORNAADOD, HURRIKAANID JNE) EES"
foobiad,LIMNOFOOBIA – HIRM JÄRVEDE EES
foobiad,LINONOFOOBIA – HIRM NÖÖRIDE EES
foobiad,LITIKAFOOBIA – HIRM KOHTUPROTSESSIDE EES
foobiad,LOFOOBIA – HIRM ROOSTE EES
foobiad,LOGIOFOOBIA – HIRM SÜNNITUSE EES
foobiad,LOGISOMEHANOFOOBIA – HIRM ARVUTITE EES
foobiad,LOGOFOOBIA – HIRM SÕNADE EES
foobiad,LUIFOOBIA – HIRM SÜÜFILISE EES
foobiad,LUTRAFOOBIA – HIRM SAARMATE EES
foobiad,LÜGOFOOBIA – HIRM PIMEDUSE EES
foobiad,LÜSSOFOOBIA – HIRM MARUTAUDI VÕI HULLUKSMINEMISE EES
foobiad,MAKROFOOBIA – HIRM PIKKADE OOTAMISTE EES
foobiad,MAGEIROKOFOOBIA – HIRM SÖÖGITEGEMISE EES
foobiad,MAIEUSIOFOOBIA – HIRM SÜNNITUSE EES
foobiad,"MALAKSOFOOBIA – HIRM ARMUMÄNGUDE, SEKSI EES"
foobiad,MANIAFOOBIA – HIRM VAIMUHAIGUSE (HULLUMEELSUSE) EES
foobiad,MASTIGOFOOBIA – HIRM KARISTUSE EES
foobiad,"MEHHANOFOOBIA – HIRM MASINATE, MEHHANISMIDE EES"
foobiad,MEDOMALAKUFOOBIA – HIRM KAOTADA EREKTSIOONI
foobiad,MEDORTOFOOBIA – HIRM EREKTEERUNUD PEENISE EES
foobiad,MEGALOFOOBIA – HIRM SUURTE ASJADE EES
foobiad,MELISSOFOOBIA – HIRM MESILASTE EES
foobiad,MELANOFOOBIA – HIRM MUSTA VÄRVI EES
foobiad,MELOFOOBIA – HIRM VÕI VIHA MUUSIKA SUHTES
foobiad,MENINGITOFOOBIA – HIRM AJUHAIGUSTE EES
foobiad,MENOFOOBIA – HIRM MENSTRUATSIOONI EES
foobiad,MERINTOFOOBIA – HIRM OLLA KINNI SEOTUD
foobiad,METALLOFOOBIA – HIRM METALLIDE EES
foobiad,METATESIOFOOBIA – HIRM MUUTUSTE EES
foobiad,METEOROFOOBIA – HIRM METEOORIDE EES
foobiad,METÜFOOBIA – HIRM ALKOHOLI EES
foobiad,METROFOOBIA – HIRM VÕI VIHA POEESIA SUHTES
foobiad,MIKROBIOFOOBIA – HIRM MIKROOBIDE EES
foobiad,MIKROFOOBIA – HIRM VÄIKESTE ASJADE EES
foobiad,MISOFOOBIA – HIRM SAADA NAKATATUD “HAIGUSIDUDEST”
foobiad,MNEMOFOOBIA – HIRM MÄLESTUSTE EES
foobiad,"MOLÜSMOFOOBIA, MOLÜSOFOOBIA – HIRM SAASTA VÕI REOSTUSE EES"
foobiad,MONOFOOBIA – HIRM ÜKSILDASE KOHA VÕI ÜKSIOLEKU EES
foobiad,MONOPATOFOOBIA – HIRM ÜHE KINDLA TÕVE EES
foobiad,MOTORFOOBIA – HIRM AUTODE EES
foobiad,MOTTEFOOBIA – HIRM KOIDE EES
foobiad,"MUROFOOBIA, MUSOFOOBIA – HIRM HIIRTE EES"
foobiad,MÜKOFOOBIA – HIRM VÕI VASTUMEELSUS SEENTE SUHTES
foobiad,MÜKSOFOOBIA – HIRM LIMA EES
foobiad,MÜKTOFOOBIA – HIRM PIMEDUSE EES
foobiad,MÜRMEKOFOOBIA – HIRM SIPELGATE EES
foobiad,MÜSOFOOBIA – HIRM HAIGUSIDUDE VÕI SAASTAGA NAKATUMISE EES
foobiad,"MÜTOFOOBIA – HIRM MÜÜTIDE, LEGENDIDE VÕI RAHVAJUTTUDE EES"
foobiad,NEBULAFOOBIA – HIRM UDU EES
foobiad,"NEKROFOOBIA – HIRM SURMA VÕI SURNUTE, LAIPADE EES"
foobiad,NELOFOOBIA – HIRM KLAASI EES
foobiad,NEOFOOBIA – HIRM IGASUGUSE UUE ASJA EES
foobiad,NEFOFOOBIA – HIRM PILVEDE EES
foobiad,NOKTIFOOBIA – HIRM ÖÖ EES
foobiad,NOMATOFOOBIA – HIRM NIMEDE EES
foobiad,NOSOKOMEFOOBIA – HIRM HAIGLATE EES
foobiad,"NOSOFOOBIA, NOSEMAFOOBIA – HIRM HAIGEKSJÄÄMISE EES"
foobiad,NOSTOFOOBIA – HIRM KOJU TAGASIPÖÖRDUMISE EES
foobiad,NOVERKAFOOBIA – HIRM VÕÕRASEMA EES
foobiad,NUDOFOOBIA – HIRM ALASTUSE EES
foobiad,NUKLEOMITOFOOBIA – HIRM TUUMARELVADE JA – VÕI -JAAMADE EES
foobiad,NUMEROFOOBIA – HIRM NUMBRITE EES
foobiad,"NÜKTOHÜLOFOOBIA – HIRM PIMEDATE JA ÖISTE METSA(SALU)DE, PARKIDE JMS EES"
foobiad,NÜKTOFOOBIA – HIRM PIMEDUSE VÕI ÖÖ EES
foobiad,OBESOFOOBIA – HIRM KAALUS JUURDEVÕTMISE EES
foobiad,ODONTOFOOBIA – HIRM HAMMASTE VÕI HAMBARAVI EES
foobiad,"ODÜNEFOOBIA, ODÜNOFOOBIA – HIRM VALU EES"
foobiad,OENOFOOBIA – HIRM VEINIDE EES
foobiad,OFIDIOFOOBIA – HIRM MADUDE EES
foobiad,OFTALMOFOOBIA – HIRM KELLEGI POOLT JÕLLITATUD SAADA
foobiad,OHLOFOOBIA – HIRM (KÄRATSEVATE) RAHVAHULKADE EES
foobiad,OHHOFOOBIA – HIRM LIIKLUSVAHENDITE EES
foobiad,OIKOFOOBIA – HIRM KODUSE ÜMBRUSE VÕI KODU EES
foobiad,OKTOFOOBIA – HIRM NUMBER 8 EES
foobiad,OLFAKTOFOOBIA – HIRM LÕHNADE EES
foobiad,OMBROFOOBIA – HIRM VIHMA VÕI VIHMA KÄTTE JÄÄMISE EES
foobiad,"OMMATOFOOBIA, OMMETAFOOBIA – HIRM SILMADE EES"
foobiad,ONEIROFOOBIA – HIRM UNENÄGUDE EES
foobiad,ONEIROGMOFOOBIA – HIRM “VOODIT MÄRJATA”
foobiad,ONOMATOFOOBIA – HIRM KUULDA KINDLAT SÕNA VÕI NIMESID
foobiad,OPTOFOOBIA – HIRM AVADA SILMI
foobiad,ORNITOFOOBIA – HIRM LINDUDE EES
foobiad,ORTOFOOBIA – HIRM OMANDI EES
foobiad,"OSFRESIOFOOBIA, OSMOFOOBIA – HIRM (EBAMEELDIVATE) LÕHNADE EES"
foobiad,OSTRAKONOFOOBIA – HIRM KARPLOOMADE EES
foobiad,PAGOFOOBIA – HIRM JÄÄ VÕI PAKASE EES
foobiad,"PANTOFOOBIA, PATOFOOBIA – HIRM KANNATAMISE JA HAIGUSTE EES"
foobiad,"PANOFOOBIA, PANTOFOOBIA – HIRM KÕIGE EES"
foobiad,PAPAFOOBIA – HIRM PAAVSTI EES
foobiad,PAPÜROFOOBIA – HIRM PABERI EES
foobiad,PARAFOOBIA – HIRM SEKSUAALPERVERSSUSTE EES
foobiad,PARALIPOFOOBIA – HIRM VASTUTUSE VÕI TEENISTUSKOHUSTUSTE MITTETÄITMISE EES
foobiad,PARASITOFOOBIA – HIRM PARASIITIDE EES
foobiad,PARASKAVEDEKATRIAFOOBIA – HIRM 13. KUUPÄEVA REEDE EES
foobiad,PARTENOFOOBIA – HIRM NOORTE JA – VÕI SÜÜTUTE TÜDRUKUTE EES
foobiad,"PATOFOOBIA, PANTOFOOBIA – HIRM HAIGUSTE EES"
foobiad,PATROIOFOOBIA – HIRM PÄRILIKKUSE EES
foobiad,PARTURIFOOBIA – HIRM SÜNNITAMISE EES
foobiad,PEDIKULOFOOBIA – HIRM TÄIDE EES
foobiad,PEDIOFOOBIA – HIRM NUKKUDE EES
foobiad,PEDOFOOBIA – HIRM LASTE EES
foobiad,PEKATOFOOBIA – HIRM PATUSTAMISE (KUJUTELDAVA KURITEO) EES
foobiad,PELADOFOOBIA – HIRM KIILASPEADE EES
foobiad,PELLAGROFOOBIA – HIRM PELLAGRA (KARENAHKSUSE) EES
foobiad,"PENIAFOOBIA – HIRM VAESUSE, VILETSUSE EES"
foobiad,PENTERAFOOBIA – HIRM ÄMMA EES
foobiad,PLASOFOOBIA – HIRM HAUAKIVIDE EES
foobiad,PLUTOFOOBIA – HIRM RIKKUSE EES
foobiad,PLUVIOFOOBIA – HIRM VIHMA VÕI VIHMA KÄTTE JÄÄMISE EES
foobiad,PNEUMATIFOOBIA – HIRM TUJUTSEMISE VÕI VAIMUKUSTE EES
foobiad,"PNEUMATOFOOBIA – HIRM ÕHUVOOLU, – SURVE, KA KERGE TUULEHOO EES"
foobiad,"PNIGOFOOBIA, PNIGEROFOOBIA – HIRM KÄGISTAMISE VÕI LÄMMATAMISE EES"
foobiad,POGONOFOOBIA – HIRM HABEMETE EES
foobiad,POINEFOOBIA – HIRM KARISTAMISE EES
foobiad,POKRESKOFOOBIA – HIRM KAALUS JUURDE VÕTTA
foobiad,POLIOSOFOOBIA – HIRM LASTEHALVATUSSE HAIGESTUMISE EES
foobiad,POLITIKOFOOBIA – HIRM VÕI ARUSAAMATU VASTUMEELSUS POLIITIKUTE SUHTES
foobiad,"POLÜFOOBIA – HIRM ASJADE PALJUSUSE, SUURTE KOGUSTE (PALJUDE ASJADE) EES"
foobiad,PONOFOOBIA – HIRM ÜLETÖÖTAMISE VÕI VALU EES
foobiad,PORFÜROFOOBIA – HIRM PURPURSE VÄRVI EES
foobiad,POTAMOFOOBIA – HIRM JÕGEDE VÕI VOOLAVA VEE EES
foobiad,POTOFOOBIA – HIRM ALKOHOOLSETE JOOKIDE EES
foobiad,PROKTOFOOBIA – HIRM PÄRASOOLDE PUUTUVAS
foobiad,PROSOFOOBIA – HIRM PROGRESSI EES
foobiad,PSELLISMOFOOBIA – HIRM KOKUTAMISE EES
foobiad,"PSÜHHOFOOBIA – HIRM OMA HINGE, HINGELAADI EES"
foobiad,PSÜHROFOOBIA – HIRM KÜLMA EES
foobiad,PTEROMERHANOFOOBIA – HIRM LENDAMISE EES
foobiad,PTERONOFOOBIA – HIRM SULGEDEGA KÕDITAMISE EES
foobiad,PUPAFOOBIA – HIRM HÜPIKNUKKUDE (MARIONETTIDE) EES
foobiad,PÜREKSIOFOOBIA – HIRM PALAVIKU EES
foobiad,PÜROFOOBIA – HIRM TULE EES
foobiad,"RABDOFOOBIA – HIRM KARMI KARISTUSE, (VITSTEGA) PEKSMISE EES"
foobiad,RABDOFOOBIA 2 – HIRM KARMI KRIITIKA EES
foobiad,RABDOFOOBIA 3 – HIRM MAAGIA JA “VÕLUKEPIKESTE” EES
foobiad,"RADIOFOOBIA – HIRM RADIATSIOONI, GAMMAKIIRGUSE EES"
foobiad,RANIDAFOOBIA – HIRM KONNADE EES
foobiad,REKTOFOOBIA – HIRM PÄRASOOLEHAIGUSTE VÕI MUU PÄRASOOLDE PUUTUVA SUHTES
foobiad,"RUPOFOOBIA – HIRM MUSTUSE, SOPA JMS EES"
foobiad,RUSSOFOOBIA – HIRM VENELASTE JA MUU VENEPÄRASE EES
foobiad,RÜPOFOOBIA – HIRM ROOJAMISE EES
foobiad,RÜTIFOOBIA – HIRM KORTSUDE SAAMISE EES
foobiad,"SAMHAINOFOOBIA – HIRM HALLOWEENI, KÕIGI PÜHAKUTE ÖÖ EES"
foobiad,SARMASSOFOOBIA – HIRM ARMUMÄNGUDE EES
foobiad,SATANOFOOBIA – HIRM SAATANA EES
foobiad,SELAFOOBIA – HIRM VALGUSSÄHVATUSTE EES
foobiad,SELOFOOBIA – HIRM (ARMU)KADEDUSE EES
foobiad,SELENOFOOBIA – HIRM KUU EES
foobiad,SEMMIFOOBIA – HIRM PIMEROTTIDE EES
foobiad,SEPLOFOOBIA – HIRM KÕDU EES
foobiad,SESKVIPEDALIOFOOBIA – HIRM PIKKADE SÕNADE EES
foobiad,SEKSOFOOBIA – HIRM VASTASSUGUPOOLE EES
foobiad,SFEKSOFOOBIA – HIRM HERILASTE EES
foobiad,"SIDERODROMOFOOBIA – HIRM RONGIDE, RAUDTEE VÕI RONGISÕIDU EES"
foobiad,SIDEROFOOBIA – HIRM TEAVATÄHTEDE EES
foobiad,SINISTROFOOBIA – HIRM VASAKUL ASUVATE VÕI VASAKUKÄELISTELE MÕELDUD ASJADE EES
foobiad,SINOFOOBIA – HIRM HIINA JA HIINAPÄRASE EES
foobiad,"SITIOFOOBIA, SITOFOOBIA – HIRM TOIDU VÕI SÖÖMISE EES"
foobiad,SKAIBOFOOBIA – HIRM SÜGELISTE EES
foobiad,"SKATOFOOBIA – HIRM VÄLJAHEIDETE, EKSKREMENTIDE EES"
foobiad,"SKELEROFOOBIA – HIRM KURJATEGIJATE, MURDVARASTE EES"
foobiad,"SKIAFOOBIA, SKIOFOOBIA – HIRM VARJUDE EES"
foobiad,SKOLETSIFOOBIA – HIRM VAKLADE EES
foobiad,SKOLIONOFOOBIA – HIRM KOOLI EES
foobiad,"SKOPOFOOBIA, SKOPTOFOOBIA – HIRM OLLA NÄHTUD VÕI JÄLGITAV"
foobiad,SKOTOMAFOOBIA – HIRM NÄGEMISE KAOTAMISE EES
foobiad,SKOTOFOOBIA – HIRM PIMEDUSE EES
foobiad,SKRIPTOFOOBIA – HIRM (AVALIKULT) KIRJUTAMISE EES
foobiad,SOFOFOOBIA – HIRM ÕPPIMISE JA TEADMISTE EES
foobiad,SOKERAFOOBIA – HIRM ÄIA-ÄMMA EES
foobiad,SOMNIFOOBIA – HIRM UNE JA MAGAMISE EES
foobiad,SOTERIOFOOBIA – HIRM TEISTEST SÕLTUMISE EES
foobiad,"SOTSIAALNE FOOBIA – ÜLDNIMETUS ÜHISKONNAST, SUHTLEMISEST TULENEVATELE FOOBIATELE, ERITI HIRM SAADA HALBA HINNANGUT"
foobiad,SOTSIOFOOBIA – HIRM ÜHISKONNA VÕI INIMESTE EES ÜLDSE
foobiad,SPEKTROFOOBIA – HIRM VIIRASTUSTE VÕI KUMMITUSTE EES
foobiad,"SPERMATOFOOBIA, SPERMOFOOBIA – HIRM SPERMA, SEEMNEVEDELIKU EES"
foobiad,"STASIBASIFOOBIA, STASIFOOBIA – HIRM SEISMISE VÕI KÕNDIMISE EES"
foobiad,STAUROFOOBIA – HIRM RISTIDE VÕI KRUTSIFIKSIDE EES
foobiad,STENOFOOBIA – HIRM KITSASTE ASJADE VÕI KOHTADE EES
foobiad,"STIGIOFOOBIA, STÜGIOFOOBIA – HIRM PÕRGU EES"
foobiad,SURIOFOOBIA – HIRM HIIRTE EES
foobiad,SÜMBOLOFOOBIA – HIRM SÜMBOLISMI EES
foobiad,SÜFILOFOOBIA – HIRM SÜÜFILISE EES
foobiad,SÜMMETROFOOBIA – HIRM SÜMMEETRIA EES
foobiad,SÜNGENESOFOOBIA – HIRM SUGULASTE EES
foobiad,"TAENIOFOOBIA, TENIOFOOBIA – HIRM PAELUSSIDE EES"
foobiad,TAHHOFOOBIA – HIRM KIIRUSE EES
foobiad,"TAFEFOOBIA, TAFOFOOBIA – HIRM ELUSALT MAETUD SAADA VÕI KALMISTUTE EES"
foobiad,TALASSOFOOBIA – HIRM MERE EES
foobiad,"TANATOFOOBIA, TANTOFOOBIA – HIRM SURMA VÕI SUREMISE EES"
foobiad,TAPINOFOOBIA – HIRM OLLA NAKKUSEKANDJA
foobiad,TAS(S)OFOOBIA – HIRM ISTUDA
foobiad,"TAUROFOOBIA – HIRM HÄRGADE, PULLIDE JA SÕNNIDE EES"
foobiad,TEATROFOOBIA – HIRM TEATRITE EES
foobiad,TEHNOFOOBIA – HIRM TEHNOLOOGIATE EES
foobiad,TEKSTOFOOBIA – HIRM KINDLA KANGA VÕI TEKSTIILI EES
foobiad,TELEOFOOBIA – HIRM KINDLATE PLAANIDE EES
foobiad,TELEOFOOBIA 2 – HIRM USUTSEREMOONIATE EES
foobiad,TELEFONOFOOBIA – HIRM TELEFONIDE EES
foobiad,TEOFOOBIA – HIRM JUMALA(TE) VÕI RELIGIOONI EES
foobiad,"TEOLOGIKOFOOBIA – HIRM TEOLOOGIA, USUTEADUSE EES"
foobiad,TERATOFOOBIA – HIRM MOONUTATUD LAPSE KANDMISE VÕI SÜNNITAMISE EES
foobiad,TERATOFOOBIA 2 – HIRM KOLETISTE VÕI MOONUTATUD INIMESTE EES
foobiad,TERMOFOOBIA – HIRM KUUMUSE EES
foobiad,"TESTOFOOBIA – HIRM EKSAMITE, KATSETE, TESTIDE EES"
foobiad,"TETANOFOOBIA – HIRM (LÕUA)KRAMPIDE, KANGESTUSKRAMPTÕVE EES"
foobiad,TEUTOFOOBIA – HIRM SAKSAMAA JA SAKSAPÄRASE EES
foobiad,TOKOFOOBIA – HIRM RASEDUSE VÕI SÜNNITUSE EES
foobiad,"TOKSIFOOBIA, TOKSOFOOBIA, TOKSIKOFOOBIA – HIRM MÜRKIDE VÕI JUHUSLIKU MÜRGITUSE EES"
foobiad,TOMOFOOBIA – HIRM KIRURGILISTE OPERATSIOONIDE EES
foobiad,TONITROFOOBIA – HIRM KÕUEMÜRINA EES
foobiad,TOPOFOOBIA – HIRM KINDLA KOHA VÕI OLUKORRA EES
foobiad,TRAUMATOFOOBIA – HIRM TRAUMA VÕI VIGASTUSTE EES
foobiad,TREMOFOOBIA – HIRM VÄRISEMISE EES
foobiad,TRIHHINOFOOBIA – HIRM TRIHHINELLOOSI (KEERITUSSTÕVE) EES
